MEDALIST;COUNTRY;ISTEAM
KU Bonchan;KOR;False
Republic of Korea;KOR;True
CHANG Hyejin;KOR;False
WHITLOCK Max;GBR;False
HAMBUECHEN Fabian;GER;False
UCHIMURA Kohei;JPN;False
VERNIAIEV Oleg;UKR;False
PETROUNIAS Eleftherios;GRE;False
Japan;JPN;True
RI Se Gwang;PRK;False
WEVERS Sanne;NED;False
BILES Simone;USA;False
United States;USA;True
MUSTAFINA Aliya;RUS;False
FARAH Mohamed;GBR;False
BOLT Usain;JAM;False
MCLEOD Omar;JAM;False
CENTROWITZ Matthew;USA;False
WANG Zhen;CHN;False
KIPRUTO Conseslus;KEN;False
Jamaica;JAM;True
VAN NIEKERK Wayde;RSA;False
CLEMENT Kerron;USA;False
TOTH Matej;SVK;False
RUDISHA David Lekuta;KEN;False
EATON Ashton;USA;False
HARTING Christoph;GER;False
NAZAROV Dilshod;TJK;False
DROUIN Derek;CAN;False
ROHLER Thomas;GER;False
HENDERSON Jeff;USA;False
KIPCHOGE Eliud;KEN;False
DA SILVA Thiago Braz;BRA;False
CROUSER Ryan;USA;False
TAYLOR Christian;USA;False
AYANA Almaz;ETH;False
THOMPSON Elaine;JAM;False
ROLLINS Brianna;USA;False
KIPYEGON Faith Chepngetich;KEN;False
LIU Hong;CHN;False
JEBET Ruth;BRN;False
MILLER Shaunae;BAH;False
MUHAMMAD Dalilah;USA;False
CHERUIYOT Vivian Jepkemoi;KEN;False
SEMENYA Caster;RSA;False
PERKOVIC Sandra;CRO;False
WLODARCZYK Anita;POL;False
THIAM Nafissatou;BEL;False
BEITIA Ruth;ESP;False
KOLAK Sara;CRO;False
BARTOLETTA Tianna;USA;False
SUMGONG Jemima Jelagat;KEN;False
STEFANIDI Ekaterini;GRE;False
CARTER Michelle;USA;False
IBARGUEN Caterine;COL;False
Zhang / Fu;CHN;True
CHEN Long;CHN;False
Natsir / Ahmad;INA;True
Takahashi / Matsutomo;JPN;True
MARIN Carolina;ESP;False
Cerutti / Oscar Schmidt;BRA;True
Ludwig / Walkenhorst;GER;True
RAMIREZ Robeisy;CUB;False
ZOIROV Shakhobidin;UZB;False
TISHCHENKO Evgeny;RUS;False
CONCEICAO Robson;BRA;False
DUSMATOV Hasanboy;UZB;False
LA CRUZ Julio Cesar;CUB;False
GAIBNAZAROV Fazliddin;UZB;False
LOPEZ Arlen;CUB;False
YOKA Tony Victor James;FRA;False
YELEUSSINOV Daniyar;KAZ;False
ADAMS Nicola;GBR;False
MOSSELY Estelle;FRA;False
SHIELDS Claressa Maria;USA;False
Skantar / Skantar;SVK;True
GARGAUD CHANUT Denis;FRA;False
CLARKE Joseph;GBR;False
CHOURRAUT Maialen;ESP;False
Brendel / Vandrey;GER;True
BRENDEL Sebastian;GER;False
CHEBAN Iurii;UKR;False
Gross / Rendschmidt;GER;True
Craviotto / Toro;ESP;True
Germany;GER;True
WALZ Marcus;ESP;False
HEATH Liam;GBR;False
Kozak / Szabo;HUN;True
Hungary;HUN;True
CARRINGTON Lisa;NZL;False
KOZAK Danuta;HUN;False
FIELDS Connor;USA;False
PAJON Mariana;COL;False
SCHURTER Nino;SUI;False
RISSVEDS Jenny;SWE;False
CANCELLARA Fabian;SUI;False
VAN AVERMAET Greg;BEL;False
ARMSTRONG Kristin;USA;False
VAN DER BREGGEN Anna;NED;False
KENNY Jason;GBR;False
VIVIANI Elia;ITA;False
Great Britain;GBR;True
LIGTLEE Elis;NED;False
TROTT Laura;GBR;False
VOGEL Kristina;GER;False
Gong / Zhong;CHN;True
CHEN Aisen;CHN;False
CAO Yuan;CHN;False
Lin / Chen;CHN;True
Laugher / Mears;GBR;True
REN Qian;CHN;False
SHI Tingmao;CHN;False
Liu / Chen;CHN;True
Wu / Shi;CHN;True
DUJARDIN Charlotte;GBR;False
JUNG Michael;GER;False
France;FRA;True
SKELTON Nick;GBR;False
PARK Sangyoung;KOR;False
GAROZZO Daniele;ITA;False
Russian Federation;RUS;True
SZILAGYI Aron;HUN;False
SZASZ Emese;HUN;False
Romania;ROU;True
DERIGLAZOVA Inna;RUS;False
EGORIAN Yana;RUS;False
Brazil;BRA;True
ROSE Justin;GBR;False
PARK Inbee;KOR;False
Denmark;DEN;True
Argentina;ARG;True
KRPALEK Lukas;CZE;False
MUDRANOV Beslan;RUS;False
BASILE Fabio;ITA;False
ONO Shohei;JPN;False
KHALMURZAEV Khasan;RUS;False
BAKER Mashu;JPN;False
RINER Teddy;FRA;False
PARETO Paula;ARG;False
KELMENDI Majlinda;KOS;False
SILVA Rafaela;BRA;False
TRSTENJAK Tina;SLO;False
TACHIMOTO Haruka;JPN;False
HARRISON Kayla;USA;False
ANDEOL Emilie;FRA;False
WEERTMAN Ferry;NED;False
VAN ROUWENDAAL Sharon;NED;False
LESUN Alexander;RUS;False
ESPOSITO Chloe;AUS;False
MAMUN Margarita;RUS;False
Azou / Houin;FRA;True
Switzerland;SUI;True
Head / Paulis;NED;True
Sinkovic / Sinkovic;CRO;True
Bond / Murray;NZL;True
DRYSDALE Mahe;NZL;False
Fularczyk-Kozlowska / Madaj;POL;True
Glover / Stanning;GBR;True
BRENNAN Kimberley;AUS;False
Fiji;FIJ;True
Australia;AUS;True
Fantela / Marenic;CRO;True
Clark / Mills;GBR;True
